,Neighbourhood,Property Type,Room Type,Accommodates,Bathrooms,Bedrooms,Beds,Bed Type,Price,Guests Included,Extra People,Minimum Nights,Maximum Nights,Availability 365,Number of Reviews,Cancellation Policy
16571,Mitte,Serviced apartment,Entire home/apt,6,2.0,2.0,2.0,Real Bed,140.0,1,0,3,1125,24,6,strict
16572,Mitte,Apartment,Entire home/apt,2,1.0,0.0,2.0,Real Bed,70.0,2,15,2,21,0,2,moderate
16573,Mitte,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,60.0,1,0,2,1125,0,0,flexible
16574,Mitte,Loft,Entire home/apt,4,1.0,3.0,3.0,Real Bed,165.0,2,28,2,1125,278,78,strict
16575,Mitte,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,45.0,1,10,1,1125,300,90,moderate
16576,Mitte,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,60.0,1,0,1,30,26,15,flexible
16577,Mitte,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,60.0,1,0,6,1125,0,1,flexible
16578,Mitte,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,55.0,2,10,4,21,0,0,moderate
16579,Mitte,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,33.0,1,20,2,1125,0,2,strict
16581,Mitte,Apartment,Entire home/apt,5,1.0,2.0,3.0,Real Bed,80.0,3,10,6,1125,168,0,moderate
16582,Mitte,Apartment,Private room,2,3.0,1.0,1.0,Real Bed,16.0,1,0,6,1125,96,3,moderate
16584,Mitte,Apartment,Entire home/apt,8,1.0,2.0,5.0,Real Bed,249.0,6,0,1,1125,308,60,strict
16585,Mitte,Condominium,Entire home/apt,3,1.0,1.0,1.0,Real Bed,82.0,1,0,1,1125,0,2,strict
16586,Mitte,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,45.0,1,0,5,365,0,9,moderate
16588,Mitte,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,99.0,2,14,1,1125,331,4,flexible
16609,Mitte,Apartment,Entire home/apt,4,1.0,2.0,2.0,Futon,139.0,2,25,6,1125,0,0,moderate
16611,Mitte,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,40.0,2,25,60,180,250,18,moderate
16612,Mitte,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,59.0,1,0,3,1125,0,3,flexible
